RELEASENUMBER,familyid,hhsize,age,lifesatis,dwellingunit,ownhome,employmnt,salaryamnt,owncar,numbercars,ownbusiness,healthins,collegeeduc,highlifesatis,age2,logage,worknow,retired
2,6294,1,29,1,3,0,1,0,1,1,0,1,0,1,29,3.3672957,1,0
2,7107,2,58,1,1,1,1,325000,1,3,0,1,1,1,58,4.0604429,1,0
2,9313,4,33,1,1,1,1,60000,1,2,0,1,1,1,33,3.4965076,1,0
2,9485,2,23,1,1,1,1,50000,1,2,0,1,1,1,23,3.1354942,1,0
2,8613,6,36,2,1,0,3,0,1,3,0,1,0,1,36,3.583519,0,0
2,6228,4,44,2,1,1,1,0,1,3,0,1,1,1,44,3.7841897,1,0
2,8014,4,44,3,1,1,5,0,1,2,0,1,0,0,44,3.7841897,0,0
2,2473,1,29,3,1,0,1,0,0,0,0,0,0,0,29,3.3672957,1,0
2,2067,2,56,3,1,1,1,0,1,2,0,1,0,0,56,4.0253515,1,0
2,7150,2,41,3,1,1,1,0,1,1,0,1,0,0,41,3.713572,1,0
2,5183,2,68,2,3,1,1,0,1,2,0,1,1,1,68,4.2195077,1,0
2,3772,3,64,2,1,1,1,0,1,3,0,1,0,1,64,4.1588831,1,0
2,9070,4,45,2,1,1,1,65000,1,3,1,1,0,1,45,3.8066626,1,0
2,4278,4,43,4,1,1,1,56000,1,2,0,1,1,0,43,3.7612002,1,0
2,4101,2,83,1,1,1,4,0,1,2,0,1,1,1,83,4.4188404,0,1
2,6862,1,27,2,3,0,1,0,1,1,0,1,0,1,27,3.2958369,1,0
2,4010,1,45,3,3,0,5,0,1,1,0,0,0,0,45,3.8066626,0,0
2,4296,2,47,3,3,0,5,0,0,0,0,1,0,0,47,3.8501475,0,0
2,7929,5,37,3,2,0,3,0,1,1,0,1,0,0,37,3.6109178,0,0
2,6629,3,55,1,7,0,3,0,0,0,0,0,0,1,55,4.0073333,0,0
2,697,2,48,1,3,0,5,0,1,1,0,1,0,1,48,3.871201,0,0
2,1058,3,79,3,1,1,1,0,1,1,0,1,0,0,79,4.3694477,1,0
2,1181,1,56,2,1,0,4,0,0,0,0,0,0,1,56,4.0253515,0,1
2,2366,6,39,3,1,0,1,1250,1,1,0,1,0,0,39,3.6635616,1,0
2,1269,1,37,1,3,0,1,0,0,0,0,1,0,1,37,3.6109178,1,0
2,2377,3,27,3,1,0,1,0,1,1,0,1,0,0,27,3.2958369,1,0
2,193,1,83,3,1,1,4,0,1,2,0,1,0,0,83,4.4188404,0,1
2,1041,1,78,2,1,1,4,0,1,1,0,1,0,1,78,4.356709,0,1
2,1972,1,45,3,4,0,5,0,1,1,0,1,0,0,45,3.8066626,0,0
2,2505,5,25,1,1,1,1,26000,1,3,1,1,0,1,25,3.2188759,1,0
2,2461,3,23,3,1,0,1,0,1,1,0,1,0,0,23,3.1354942,1,0
2,584,2,50,2,6,1,1,145000,1,3,0,1,1,1,50,3.9120231,1,0
2,641,1,28,2,1,0,1,0,1,1,0,1,0,1,28,3.3322046,1,0
2,577,1,25,2,1,0,1,0,1,1,1,1,0,1,25,3.2188759,1,0
2,12,2,55,3,1,1,1,0,1,3,0,1,1,0,55,4.0073333,1,0
2,1556,3,65,2,1,1,1,350000,1,4,1,1,1,1,65,4.1743875,1,0
2,1722,1,60,2,3,0,6,0,1,1,0,1,0,1,60,4.0943446,0,0
2,1731,1,70,2,1,1,4,0,1,3,0,1,0,1,70,4.2484951,0,1
2,1660,6,44,2,1,0,1,115000,1,2,1,1,1,1,44,3.7841897,1,0
2,2090,2,41,2,1,1,1,35000,1,2,1,1,1,1,41,3.713572,1,0
2,1338,1,29,3,1,0,1,50000,1,1,0,1,0,0,29,3.3672957,1,0
2,1274,4,37,2,2,1,1,100000,1,2,0,1,1,1,37,3.6109178,1,0
2,1686,3,40,2,1,1,1,175000,1,3,0,1,1,1,40,3.6888795,1,0
2,1363,2,33,2,3,0,1,0,1,1,1,1,1,1,33,3.4965076,1,0
2,1233,3,38,2,3,0,1,0,0,0,1,1,1,1,38,3.6375861,1,0
2,3800,2,73,2,1,1,4,0,1,2,0,1,0,1,73,4.2904596,0,1
2,5863,4,48,2,1,1,1,0,1,4,0,1,0,1,48,3.871201,1,0
2,2457,2,66,3,1,1,4,0,1,3,0,1,0,0,66,4.1896548,0,1
2,484,1,51,5,3,0,5,0,1,1,0,1,0,0,51,3.9318256,0,0
2,758,4,54,4,1,1,3,0,1,3,0,1,1,0,54,3.9889841,0,0
2,4270,2,70,1,1,1,4,0,1,2,0,1,0,1,70,4.2484951,0,1
2,3927,4,34,2,1,1,1,0,1,2,0,1,1,1,34,3.5263605,1,0
2,6606,2,44,1,1,1,1,65000,1,1,0,1,1,1,44,3.7841897,1,0
2,483,2,67,2,1,1,4,0,1,2,0,1,1,1,67,4.2046928,0,1
2,733,2,40,2,1,1,1,78000,1,2,0,1,1,1,40,3.6888795,1,0
2,307,2,33,3,1,0,1,54000,1,2,0,1,0,0,33,3.4965076,1,0
2,154,2,31,2,1,1,1,0,1,2,0,1,1,1,31,3.4339871,1,0
2,609,4,40,2,1,1,1,120000,1,2,0,1,1,1,40,3.6888795,1,0
2,1834,6,45,2,1,1,1,0,1,3,0,1,0,1,45,3.8066626,1,0
2,1418,2,38,4,1,0,1,0,1,1,0,1,0,0,38,3.6375861,1,0
2,1030,1,20,3,1,0,3,0,0,0,0,1,0,0,20,2.9957323,0,0
2,1068,3,70,3,1,1,4,0,1,2,0,1,0,0,70,4.2484951,0,1
2,2079,4,37,2,1,1,1,2000,1,4,1,1,1,1,37,3.6109178,1,0
